Class,MTH,RFC,FLD,INT,BCM,NML,WRD,DCM,SZ,CPX,EX,RET,buggy
ChainCalls,1,44,11,2,5,8.89041095890411,0,61.5,65,17,0,20,0
InlineSimpleMethods,12,73,2,0,14,10.050420168067228,0,63.5,83,21,0,35,0
MaybeReachingVariableUse,9,73,3,2,9,9.471544715447154,0,50.333333333333336,83,17,0,31,1
PeepholeReplaceKnownMethods,17,297,2,0,18,8.233560090702948,0,4.092307692307692,395,95,0,85,1
DevirtualizePrototypeMethods,13,138,2,2,11,10.422885572139304,0,20.90909090909091,148,37,0,42,1
TightenTypes,19,522,41,9,54,10.447969543147208,0,14.974358974358974,548,121,0,149,0
CreateSyntheticBlocks,5,52,10,1,9,8.828947368421053,0,9.77777777777778,60,12,0,17,0
NodeTraversal,36,147,14,5,50,9.60392156862745,0,41.526315789473685,192,28,0,81,1
PhaseOptimizer,14,66,23,3,20,7.88,0,22.235294117647054,136,25,0,28,0
CheckMissingReturn,8,41,5,1,8,10.681818181818182,0,31.285714285714285,45,13,0,26,0
CheckDebuggerStatement,2,4,2,1,2,7.888888888888889,0,0.0,5,1,0,2,0
InlineCostEstimator,2,11,6,0,6,8.88,0,153.0,15,1,0,14,1
IgnoreCajaProperties,1,32,2,1,2,7.224489795918367,0,7.523809523809524,15,2,0,2,0
AnonymousFunctionNamingCallback,2,28,1,0,6,9.58,0,8.476190476190476,26,10,0,5,0
AliasStrings,9,84,22,1,18,8.64179104477612,0,13.0,125,29,0,23,0
DisambiguateProperties,10,349,22,4,49,10.411552346570398,0,27.1,428,113,0,139,1
CollapseAnonymousFunctions,1,38,1,1,2,9.88888888888889,0,15.375,33,8,0,11,0
WhitelistWarningsGuard,11,69,7,1,19,8.5625,0,55.71428571428572,73,14,2,34,0
AstParallelizer,6,39,10,0,7,8.897058823529411,0,25.23076923076923,53,7,0,22,0
DefinitionsRemover,2,77,9,0,19,10.73913043478261,0,26.83333333333333,104,18,0,52,0
OptimizeArgumentsArray,7,56,7,2,6,8.041666666666666,0,2.887323943661972,69,17,0,16,0
VariableNameGenerator,1,3,2,0,2,12.714285714285714,0,0.0,5,1,0,2,0
LinkedFlowScope,17,105,12,1,15,8.336842105263157,0,5.55,156,40,0,48,0
ConstCheck,4,34,3,1,5,7.375,0,0.0,35,9,0,5,0
BasicErrorManager,11,15,8,2,5,7.037735849056604,0,33.333333333333336,66,19,0,31,0
DeadAssignmentsElimination,10,135,3,2,6,9.803921568627452,0,6.535714285714286,168,46,0,42,1
Scope,26,68,16,4,53,9.10759493670886,0,78.54545454545455,119,12,0,122,1
PassFactory,4,0,2,0,7,8.0,0,66.0,5,0,0,7,0
Denormalize,4,38,2,3,3,8.885245901639344,0,11.615384615384617,43,10,0,11,0
ReferenceCollectingCallback,11,142,18,6,42,10.065891472868216,0,27.5,179,40,0,108,1
NameAnonymousFunctionsMapped,2,21,10,2,4,9.833333333333334,0,99.5,27,5,0,11,0
JsMessageVisitor,24,228,30,1,28,10.21951219512195,0,25.73170731707317,281,71,10,54,0
OptimizeParameters,17,133,6,2,14,10.228699551569507,0,7.25,193,48,0,52,0
CodeConsumer,34,67,3,0,12,8.612903225806452,0,18.27777777777778,98,20,0,40,1
TypedScopeCreator,8,748,33,3,50,11.0,0,8.406593406593407,687,187,0,99,1
RenameVars,10,113,26,2,27,7.34020618556701,0,8.218181818181819,182,43,0,36,1
ProcessTweaks,6,140,30,1,14,10.064655172413794,0,18.0,166,35,0,43,0
FunctionInjector,18,163,12,0,34,10.219672131147542,0,6.538461538461538,238,59,0,80,1
ControlFlowGraph,6,12,2,1,17,12.0,0,21.33333333333333,24,3,0,22,0
ExpandJqueryAliases,10,271,14,2,7,9.177966101694915,0,5.25,216,55,0,30,0
ProcessClosurePrimitives,21,419,34,1,37,10.026666666666667,0,6.776595744680851,420,104,0,73,1
CheckGlobalThis,4,39,3,1,5,7.689189189189189,0,17.294117647058822,52,18,0,13,1
WarningsGuard,4,0,1,1,6,8.235294117647058,0,0.0,5,0,0,9,0
FlowSensitiveInlineVariables,6,135,13,2,10,8.823770491803279,0,5.0,163,46,0,54,1
NameAnonymousFunctions,1,10,6,2,4,13.681818181818182,0,0.0,11,0,0,8,0
SimpleRegion,3,0,3,1,2,17.25,0,0.0,6,0,0,6,0
CheckGlobalNames,9,84,9,1,6,9.696,0,6.0,89,28,0,18,0
InvocationsCallback,2,8,0,0,3,6.615384615384615,0,140.0,10,3,0,5,0
AbstractMessageFormatter,5,7,4,1,3,10.85,0,0.0,13,2,0,14,0
ExtractPrototypeMemberDeclarations,4,74,15,1,10,10.77777777777778,0,12.787878787878787,72,16,0,15,0
Result,0,0,13,0,2,5.333333333333333,0,86.0,14,0,0,0,0
CodeGenerator,32,514,8,0,18,8.140988372093023,0,3.522935779816514,686,105,1,60,1
ReplaceStrings,17,131,21,1,18,8.725961538461538,0,19.923076923076923,147,31,0,41,0
ShowByPathWarningsGuard,2,7,2,0,3,10.88888888888889,0,57.5,12,1,0,4,0
CollapseProperties,22,290,8,1,24,11.02212389380531,0,12.40566037735849,302,85,0,33,1
FunctionArgumentInjector,11,129,6,2,15,9.181818181818182,0,10.56896551724138,163,46,0,36,0
TypeInference,49,557,17,0,23,11.658195679796696,0,5.034965034965035,575,136,0,115,1
RemoveUnusedPrototypeProperties,4,16,5,1,6,11.055555555555555,0,58.0,47,12,0,7,0
RecordFunctionInformation,4,39,4,1,6,9.38,0,93.0,30,5,0,9,0
LightweightMessageFormatter,4,50,2,1,4,8.08641975308642,0,13.7,68,12,0,15,1
RemoveUnusedNames,2,13,3,1,4,10.1,0,0.0,13,3,0,2,0
CodingConventions,1,64,2,2,5,17.166666666666668,0,16.5,87,8,0,129,0
GlobalVarReferenceMap,7,69,6,2,10,8.794642857142858,0,34.3,82,19,0,19,0
InlineObjectLiterals,1,173,4,2,11,9.033755274261605,0,4.232876712328767,150,39,0,22,1
FunctionToBlockMutator,14,131,3,1,17,11.16256157635468,0,7.428571428571429,131,29,0,30,1
Normalize,5,256,15,6,21,10.5990099009901,0,9.855263157894736,265,61,0,41,1
JSError,16,22,8,0,22,7.140350877192983,0,22.75,57,9,0,42,0
AliasKeywords,9,99,15,1,35,11.53551912568306,0,39.94736842105263,93,17,0,47,0
NodeUtil,156,872,16,9,143,9.952761627906977,0,19.01829268292683,1019,230,0,620,1
SourceMap,8,35,5,0,5,8.953846153846154,0,10.23076923076923,41,7,1,25,1
InlineProperties,5,118,6,1,7,11.214285714285714,0,12.9375,105,27,0,26,0
CompilerOptions,209,64,170,6,222,16.937125748502993,0,50.60377358490566,404,11,3,244,1
ReorderConstantExpression,1,17,0,0,2,12.909090909090908,0,19.166666666666668,11,3,0,2,0
GoogleJsMessageIdGenerator,1,14,1,1,7,7.9393939393939394,0,30.5,93,6,0,10,0
GenerateExports,3,57,4,1,4,10.66216216216216,0,15.11111111111111,39,8,0,4,0
GoogleCodingConvention,7,20,4,0,9,9.552631578947368,0,90.0,21,4,0,17,0
AliasExternals,16,203,25,1,43,9.26086956521739,0,25.55813953488372,171,44,0,35,0
CheckSuspiciousCode,5,29,2,0,2,9.152173913043478,0,38.0,20,5,0,5,0
PeepholeRemoveDeadCode,28,377,0,0,28,10.053211009174312,0,4.6,420,88,0,96,0
